Project,Location,year,size,Lat,Lon
Stonecrest School,Ajax,2016,300,45.4359619,-76.11723
Brampton City Hall,Brampton,2015,1200,43.6848902,-79.7617417
Peel Memorial Hospital,Brampton,2016,2500,43.6904649,-79.75361
Creditview Park amenity,Brampton,2017,,43.6847577,-79.8361493
Erin Oaks Kids,Brampton,2017,,43.7838941,-79.702035
Erin Oaks Kids,Missisauga,2017,,43.5194687,-79.68979
Mississauga Gateway Phase 2,Mississauaga,2017,,43.6565734,-79.6173935
UTM Instructional Centre,Mississauga,2010,6500,43.5512151,-79.66467
Burnhamthorpe Library,Mississauga,2011,5000,43.6210429,-79.605193
Celebration Square,Mississauga,2011,2500,43.5879003,-79.644809
Karl Stortz Endoscopy,Mississauga,2011,5000,43.5982218,-79.7698161
EMS 106,Mississauga,2012,5000,43.5167439,-79.65269
UTM Innovation Bldg,Mississauga,2014,4500,43.5481969,-79.664117
UTM North Building,Mississauga,2014,900,43.5508689,-79.6663581
Spectrum Square,Mississauga,2015,3500,43.6509105,-79.607369
Wolfedale Yard,Mississauga,2016,2050,43.5713665,-79.647947
Grand Park Phase 2,Mississuaga,2017,,43.5811907,-79.6498057
Oak Ridges Community Centre,Richmond Hill,2012,4500,43.9466038,-79.430669
Vaughan Metro Centre,Vaughan,2016,300,43.7933376,-79.53035
Chris Hadfield Public School,Whitby,2013,600,43.9627309,-78.9716508
Brooklin Secondary School,Whitby,2015,600,43.9668137,-78.9621145
Southeast Collectors York Durham Region,York Durham,2014,12000,43.8613282,-79.173032
