Name,lon,lat
SWM1,-79.05625978,43.87564084
SWM2,-79.06841885,43.86566412
SWM3,-79.06929162,43.8629148
SWM4,-79.06754491,43.85612362
SWM5,-79.05683948,43.85857105
SWM6,-79.01746968,43.858948
SWM7,-79.01418689,43.85588381
SWM8,-79.00670962,43.85325061
SWM9,-79.01098263,43.85271285
SWM10,-79.00690457,43.85076004
SWM11,-79.02122407,43.86281258
SWM12,-79.01774522,43.86565139
SWM13,-79.01640726,43.86359338
SWM14,-79.03260177,43.87630726
SWM15,-79.01888176,43.86026901
SWM16,-79.03283162,43.87915632
SWM17,-79.03527848,43.87855918
SWM18,-79.00102276,43.8387546
SWM19,-79.00221989,43.84276411
SWM20,-79.00630461,43.86428184
SWM21,-79.00439512,43.86705759
SWM22,-79.00643155,43.90338614
SWM23,-78.9985255,43.83271452
SWM24,-78.99652493,43.83451618
SWM25,-79.00695715,43.85889113
SWM26,-79.01874021,43.93221733
SWM27,-78.98243773,43.82883011
SWM28,-79.04890514,43.88818337
SWM29,-79.05076191,43.87515101
SWM30,-79.04787074,43.87564185
SWM31,-79.01597944,43.89823134
SWM32,-79.07267947,43.90323109
SWM33,-79.00891245,43.89433593
SWM34,-79.01921241,43.89761218
SWM35,-79.04426199,43.88588912
SWM36,-78.98676427,43.84181751
SWM37,-79.56442881,43.95524019
SWM38,-79.01655371,43.87530947
SWM39,-79.03486657,43.89032865
SWM40,-79.01321565,43.88399384
SWM41,-79.00645637,43.87354008
SWM42,-79.03675542,43.88475196
SWM43,-79.05427767,43.87955963
SWM44,-78.99927446,43.84788959
SWM45,-78.99632569,43.84121131
SWM46,-79.01099673,43.89268859
SWM47,-79.01976199,43.89117523
SWM48,-79.01804919,43.89176677
SWM49,-78.99753751,43.84960584
SWM50,-78.98432055,43.83939749
SWM51,-79.0096026,43.88034756
SWM52,-79.0087721,43.87052829
SWM53,-79.02064515,43.87353472
SWM54,-79.02361056,43.8783309
SWM55,-79.01564694,43.88425218
SWM56,-79.05200088,43.89098226
SWM57,-79.02270506,43.91058364
SWM58,-79.07343294,43.87033158
SWM59,-79.51659176,43.83881495
SWM60,-79.50081441,43.82608496
SWM61,-79.45557539,43.82494221
SWM62,-79.4850274,43.83120689
SWM63,-79.51457842,43.80765414
SWM64,-79.54287059,43.81396986
SWM65,-79.5337172,43.81964213
SWM66,-79.50386436,43.83921623
SWM67,-79.53407693,43.78663921
SWM68,-79.60061829,43.80684946
SWM69,-79.56414779,43.81125899
SWM70,-79.54511681,43.79519877
SWM71,-79.51950915,43.77664634
SWM72,-79.5261226,43.8533621
SWM73,-79.44765021,43.8164344
SWM74,-79.64526072,43.84874133
SWM75,-79.62967442,43.83667966
SWM76,-79.63038993,43.84563787
SWM77,-79.60816729,43.80941768
SWM78,-79.61253503,43.80210577
SWM79,-79.44273505,43.81202775
SWM80,-79.44139961,43.81150534
SWM81,-79.44017101,43.81093935
SWM82,-79.43763342,43.81050852
SWM83,-79.62250608,43.79773355
SWM84,-79.65012005,43.83848966
SWM85,-79.60895706,43.79949621
SWM86,-79.6063857,43.79032611
SWM87,-79.60109244,43.77534224
SWM88,-79.4736957,43.81222043
SWM89,-79.46917592,43.81636468
SWM90,-79.47484933,43.81818726
SWM91,-79.62129635,43.77861305
SWM92,-79.57640625,43.78564377
SWM93,-79.56362305,43.77452625
SWM94,-79.55590906,43.79197729
SWM95,-79.59420587,43.77439337
SWM96,-79.4752195,43.79826706
SWM97,-79.5719934,43.7909009
SWM98,-79.52970882,43.86033208
SWM99,-79.52744516,43.8552339
SWM100,-79.52781878,43.85875913
SWM101,-79.52746637,43.85689984
SWM102,-79.53327818,43.85127531
SWM103,-79.53601132,43.85062608
SWM104,-79.47125941,43.88572938
SWM105,-79.6140382,43.76951249
SWM106,-79.6031882,43.78673059
SWM107,-79.6097175,43.783857
SWM108,-79.62374404,43.76454267
SWM109,-79.52574346,43.83693459
SWM110,-79.52826434,43.83659794
SWM111,-79.53347359,43.83923996
SWM112,-79.61198449,43.81155297
SWM113,-79.5469741,43.81139304
SWM114,-79.51501974,43.86306829
SWM115,-79.5346779,43.86473566
SWM116,-79.53295528,43.86292184
SWM117,-79.5333041,43.86747313
SWM118,-79.54107719,43.83451134
SWM119,-79.53634831,43.83409972
SWM120,-79.62495535,43.81468101
SWM121,-79.61455208,43.81558177
SWM122,-79.61276308,43.82893953
SWM123,-79.58164449,43.82583838
SWM124,-79.56084771,43.82648771
SWM125,-79.52355097,43.86832891
SWM126,-79.54856963,43.85535114
SWM127,-79.54704449,43.86025673
SWM128,-79.54482018,43.8519451
SWM129,-79.46143925,43.82759636
SWM130,-79.47635046,43.8266347
SWM131,-79.45830998,43.83852061
SWM132,-79.47744785,43.8426578
SWM133,-79.56528519,43.86758208
SWM134,-79.51919945,43.88925993
SWM135,-79.5214899,43.82835317
SWM136,-79.63030789,43.78722095
SWM137,-79.48739997,43.79093788
SWM138,-79.48840558,43.81365848
SWM139,-79.48330036,43.79921195
SWM140,-79.48535374,43.81240257
SWM141,-79.50760078,43.84220928
SWM142,-79.53372592,43.80293141
SWM143,-79.52409677,43.7973512
SWM144,-79.52496474,43.77713106
SWM145,-79.54921099,43.8360825
SWM146,-79.5757338,43.78936293
SWM147,-79.44297468,43.81309345
SWM148,-79.62590023,43.77943382
SWM149,-79.64789785,43.85426479
SWM150,-79.50683607,43.85391301
SWM151,-79.55600283,43.84070638
SWM152,-79.50085615,43.88450093
SWM153,-79.5188918,43.88760829
