"UniqueSite","green_mean","grey_mean","green_sd","grey_sd","green_n","grey_n","yi","vi","Study","taxa","GI.compare","measure"
"1294-Arthropoda-wall-abundance",12.18,0.0625,27.7464393744348,0.25,50,16,-0.493229778456228,0.0843429970784544,"1294","Arthropoda","wall","abundance"
"1294-Arthropoda-wall-richness",3.14,0.0625,2.36479278118806,0.25,50,16,-1.46727741479288,0.098809871302737,"1294","Arthropoda","wall","richness"
"1423-Arthropoda-retention pond-mean site abundance",4.42833333333333,8.97333333333333,5.14310963004549,10.3976933339403,6,6,0.511289728517061,0.344225716103627,"1423","Arthropoda","retention pond","mean site abundance"
"251-Arthropoda-roof-abundance",4.82352941176471,1.6,8.31591316481274,2.07364413533277,17,5,-0.413692034990291,0.262713099862092,"251","Arthropoda","roof","abundance"
"251-Arthropoda-roof-richness",0.882352941176471,0.8,0.992619825334483,0.836660026534076,17,5,-0.0822242851865188,0.258977184708911,"251","Arthropoda","roof","richness"
"926-Invertebrates-retention pond-richness",6.40909090909091,2.36363636363636,4.43641952274784,1.89096736506942,36,36,-1.17355149550598,0.0651196049486411,"926","Invertebrates","retention pond","richness"
"1049-Amphibians-retention pond-occurrence",0.321666666666667,0.129166666666667,0.129636243,0.0900761593333333,36,36,-1.70600430877694,0.0757670187608714,"1049","Amphibians","retention pond","occurrence"
"1286-Aves-wall-abundance",1.2305,0.329,2.325,0.7925,27,27,-0.511498312532594,0.0764965789233675,"1286","Aves","wall","abundance"
"1297-bats-roof-calls per night",2.65,1.192,4.6225,2.1855,13,17,-0.411439633502759,0.138567982535123,"1297","bats","roof","calls per night"
"1305-Arthropoda-roof-abundance",51.8,18.3,107.29,59.17,4,34,-0.507961881928666,0.282806834093942,"1305","Arthropoda","roof","abundance"
"1305-Arthropoda-roof-richness",11.75,5.5,15.74,7.47,4,34,-0.722120371098686,0.286273051947405,"1305","Arthropoda","roof","richness"
"1305-Aves-roof-abundance",7.5,3.25,2.6,1.6,4,34,-2.43906584987016,0.357688636021709,"1305","Aves","roof","abundance"
"1305-Aves-roof-richness",14,6,2,2,4,34,-3.91598555661673,0.481187328911551,"1305","Aves","roof","richness"
"1776-Arthropoda-garden-average occurrence per species",10.69387755,16.56122449,3.173563886,4.878458276,8,8,1.34774477530421,0.306762999354993,"1776","Arthropoda","garden","average occurrence per species"
"546-nematodes-roadsides-Density",8.5,0.8,2.85,0.63,10,10,-3.57278112101341,0.519119123466746,"546","nematodes","roadsides","Density"
